elm_loc_name,elm_At,elm_Dturb,elm_Gmax,elm_Gmin,elm_R,elm_Tf,elm_Tg,elm_Tr,elm_Tw,elm_Velm,elm_qnl,elm_r,con_gen
HYGOV_gen_1012_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1012_1.ElmSym
HYGOV_gen_1013_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1013_1.ElmSym
HYGOV_gen_1014_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1014_1.ElmSym
HYGOV_gen_1022_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1022_1.ElmSym
HYGOV_gen_1030_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1030_4.ElmSym
HYGOV_gen_1031_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1031_1.ElmSym
HYGOV_gen_1038_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1038_1.ElmSym
HYGOV_gen_1039_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1039_2.ElmSym
HYGOV_gen_1040_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1040_3.ElmSym
HYGOV_gen_1041_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1041_4.ElmSym
HYGOV_gen_1042_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1042_5.ElmSym
HYGOV_gen_1043_6,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1043_6.ElmSym
HYGOV_gen_1059_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1059_1.ElmSym
HYGOV_gen_1060_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1060_2.ElmSym
HYGOV_gen_1067_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1067_1.ElmSym
HYGOV_gen_1068_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1068_2.ElmSym
HYGOV_gen_1074_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1074_2.ElmSym
HYGOV_gen_1075_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1075_3.ElmSym
HYGOV_gen_1078_6,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1078_6.ElmSym
HYGOV_gen_1079_7,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1079_7.ElmSym
HYGOV_gen_1080_8,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_1080_8.ElmSym
HYGOV_gen_2003_7,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2003_7.ElmSym
HYGOV_gen_2004_8,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2004_8.ElmSym
HYGOV_gen_2010_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2010_1.ElmSym
HYGOV_gen_2011_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2011_2.ElmSym
HYGOV_gen_2012_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2012_1.ElmSym
HYGOV_gen_2014_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2014_1.ElmSym
HYGOV_gen_2015_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2015_1.ElmSym
HYGOV_gen_2016_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2016_2.ElmSym
HYGOV_gen_2021_14,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2021_14.ElmSym
HYGOV_gen_2024_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2024_2.ElmSym
HYGOV_gen_2028_6,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2028_6.ElmSym
HYGOV_gen_2030_8,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2030_8.ElmSym
HYGOV_gen_2054_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2054_1.ElmSym
HYGOV_gen_2055_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2055_2.ElmSym
HYGOV_gen_2056_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2056_3.ElmSym
HYGOV_gen_2057_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2057_4.ElmSym
HYGOV_gen_2058_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2058_5.ElmSym
HYGOV_gen_2059_6,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2059_6.ElmSym
HYGOV_gen_2060_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2060_1.ElmSym
HYGOV_gen_2061_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2061_5.ElmSym
HYGOV_gen_2062_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2062_2.ElmSym
HYGOV_gen_2091_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2091_1.ElmSym
HYGOV_gen_2092_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2092_1.ElmSym
HYGOV_gen_2093_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2093_2.ElmSym
HYGOV_gen_2094_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2094_3.ElmSym
HYGOV_gen_2095_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_2095_4.ElmSym
HYGOV_gen_3154_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3154_3.ElmSym
HYGOV_gen_3155_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3155_1.ElmSym
HYGOV_gen_3156_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3156_2.ElmSym
HYGOV_gen_3301_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3301_1.ElmSym
HYGOV_gen_3448_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3448_1.ElmSym
HYGOV_gen_3449_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3449_2.ElmSym
HYGOV_gen_3453_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3453_1.ElmSym
HYGOV_gen_3454_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3454_2.ElmSym
HYGOV_gen_3455_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3455_3.ElmSym
HYGOV_gen_3456_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3456_4.ElmSym
HYGOV_gen_3457_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_3457_5.ElmSym
HYGOV_gen_5006_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5006_1.ElmSym
HYGOV_gen_5008_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5008_1.ElmSym
HYGOV_gen_5010_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5010_1.ElmSym
HYGOV_gen_5012_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5012_1.ElmSym
HYGOV_gen_5019_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5019_1.ElmSym
HYGOV_gen_5020_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5020_1.ElmSym
HYGOV_gen_5021_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5021_4.ElmSym
HYGOV_gen_5022_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5022_1.ElmSym
HYGOV_gen_5023_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5023_2.ElmSym
HYGOV_gen_5026_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5026_5.ElmSym
HYGOV_gen_5028_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5028_1.ElmSym
HYGOV_gen_5030_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5030_1.ElmSym
HYGOV_gen_5031_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5031_1.ElmSym
HYGOV_gen_5032_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5032_2.ElmSym
HYGOV_gen_5033_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5033_3.ElmSym
HYGOV_gen_5035_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5035_3.ElmSym
HYGOV_gen_5036_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5036_2.ElmSym
HYGOV_gen_5037_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5037_1.ElmSym
HYGOV_gen_5039_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5039_3.ElmSym
HYGOV_gen_5040_4,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5040_4.ElmSym
HYGOV_gen_5041_5,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5041_5.ElmSym
HYGOV_gen_5045_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5045_1.ElmSym
HYGOV_gen_5229_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5229_1.ElmSym
HYGOV_gen_5230_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5230_2.ElmSym
HYGOV_gen_5231_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5231_1.ElmSym
HYGOV_gen_5233_3,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5233_3.ElmSym
HYGOV_gen_5234_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5234_1.ElmSym
HYGOV_gen_5235_1,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5235_1.ElmSym
HYGOV_gen_5236_2,1.2,0.2,1,0.08,0.05,0.05,0.5,6,2,0.167,0.08,0.5,gen_5236_2.ElmSym
