"Component ","Description ","Base power ","Base voltage ","Base frequency ","Amplitude [3] ","Angle [3] ","Frequency ","RLC impedance connection type","R [3] ","L [3] ","C [3] ","Source status ","Starting mode ","Phase sequence ","Type ","Voltage ","Angle ","P ","Q ","Q minimum limit","Q maximum limit","Command "
"Network Sources","Description","pBase","vBase","fBase","module","angle","freq","connection","R","L","C","set","slow","sequence","type","voltCntr","angCntr","P","Q","Qmin","Qmax","CmdBlockSelect"
,,(VA),(V),(Hz),(V),(°),(Hz),,(?),(H),(F),,,,,(pu),(°),(W),(var),(var),(var),
gen_1011_1,,36249309.917912,190525.5888325765,50,[273333.5234029365 273333.5234029365 273333.5234029365],[14.9284 -105.0716 134.9284],50,S,[0 0 0],[0.318755002361081 0.318755002361081 0.318755002361081],[0 0 0],1,0,1,G,1.0605,16.6736,0,-21531810.0703518,-145508933.043224,317466779.958177,0
gen_1023_1,,26462831.06826013,398.3716857408418,50,[608.1324937882838 608.1324937882838 608.1324937882838],[12.5235 -107.4765 132.5235],50,S,[1.263346721883728e-005 1.263346721883728e-005 1.263346721883728e-005],[1.206779137074548e-006 1.206779137074548e-006 1.206779137074548e-006],[0 0 0],1,0,1,G,1.07713,10.7083,38397424.2998332,0,-5000000,5000000,0
gen_1024_2,,23883117.72085727,398.3716857408418,50,[607.9103587535243 607.9103587535243 607.9103587535243],[12.4217 -107.5783 132.4217],50,S,[1.346414976749114e-005 1.346414976749114e-005 1.346414976749114e-005],[1.304145135235202e-006 1.304145135235202e-006 1.304145135235202e-006],[0 0 0],1,0,1,G,1.07705,10.6723,33235892.5874866,0,-5000000,5000000,0
gen_1025_1,,16680240.10614873,398.3716857408418,50,[614.2886994644028 614.2886994644028 614.2886994644028],[11.2197 -108.7803 131.2197],50,S,[2.027482008658489e-005 2.027482008658489e-005 2.027482008658489e-005],[1.922914985092829e-006 1.922914985092829e-006 1.922914985092829e-006],[0 0 0],1,0,1,G,1.08759,9.631600000000001,20966006.3255453,718397.15225622,-15743467.0301,5735340.0992,0
gen_1027_1,,35900058.56,76210.2355330306,50,[111241.088739197 111241.088739197 111241.088739197],[14.1691 -105.8309 134.16910000000001],50,S,[0 0 0],[0.04478557978882006 0.04478557978882006 0.04478557978882006],[0 0 0],1,0,1,G,1.02449,12.2665,79160474.62791389,8800787.840727249,-164109961.235599,56568132.06504031,0
gen_1066_1,,60129306.53,190525.5888325765,50,[241626.0629576851 241626.0629576851 241626.0629576851],[-11.366 -131.36599999999999 108.634],50,S,[0 0 0],[0.328917647645342 0.328917647645342 0.328917647645342],[0 0 0],1,0,1,G,1.027,-11.0001,0,-97046480.3612942,-165257081.6,323753427.4,0
gen_1149,,3.0E8,190525.58883257653,50,[269443.8717061496 269443.8717061496 269443.8717061496],[-5.48861 -125.48861 114.51139],50,S,[0 0 0],[0.000385154962283 0.000385154962283 0.000385154962283],[0 0 0],1,0,1,G,1.025077786,-5.494639787,4349383.474,-20505770.843,-200000000,200000000,0
gen_1173_1,,91302129.44000967,76210.2355330306,50,[107714.9890789904 107714.9890789904 107714.9890789904],[9.86351 -110.13649 129.86351],50,S,[0 0 0],[0.020248638561823 0.020248638561823 0.020248638561823],[0 0 0],1,0,1,G,1.00407,11.3918,0,-9641155.9328556,-106989946.309477,158036661.786027,0
gen_1181_1,,30198120.81898564,19052.55888325765,50,[27014.5236110226 27014.5236110226 27014.5236110226],[8.47675 -111.52325 128.47675],50,S,[0 0 0],[0.003204825277720713 0.003204825277720713 0.003204825277720713],[0 0 0],1,0,1,G,0.99781,6.1153,43239112.9215568,3295933.0806707,-18522085.447,8416800.788000001,0
gen_1218_1,,35838466.69,63508.52961085884,50,[94570.9088168426 94570.9088168426 94570.9088168426],[9.31212 -110.68788 129.31212],50,S,[0 0 0],[0.03316823651017613 0.03316823651017613 0.03316823651017613],[0 0 0],1,0,1,G,1.03756,17.2794,-85804595.42655779,13639226.4906736,-29474677.46,19454951.78,0
gen_1582_1,,20114099.0474921,12701.70592217177,50,[18379.89824646488 18379.89824646488 18379.89824646488],[15.7433 -104.2567 135.7433],50,S,[0 0 0],[0.002553134239309 0.002553134239309 0.002553134239309],[0 0 0],1,0,1,G,1.02379,14.535,31445522.4825002,-571234.5535201951,-15605754.589,5619006.2484,0
gen_2007_1,,22712883.7310942,19052.55888325765,50,[27640.79490044355 27640.79490044355 27640.79490044355],[40.6874 -79.3126 160.6874],50,S,[0 0 0],[0.006694321873470222 0.006694321873470222 0.006694321873470222],[0 0 0],1,0,1,G,1.02916,32.2684,54673948.8634068,-4256436.64399991,-19637411.181,9706987.41,0
gen_2008_2,,24097606.53242353,19052.55888325765,50,[27742.2283993951 27742.2283993951 27742.2283993951],[41.8716 -78.1284 161.8716],50,S,[0 0 0],[0.006600822919246988 0.006600822919246988 0.006600822919246988],[0 0 0],1,0,1,G,1.03021,32.7669,62799762.1549113,-5118727.20987275,-5238348.47509805,5276110.68387646,0
gen_2017_1,,26841948.5387858,127017.0592217177,50,[191691.1213034279 191691.1213034279 191691.1213034279],[27.4673 -92.5327 147.4673],50,S,[0 0 0],[0.191319921863273 0.191319921863273 0.191319921863273],[0 0 0],1,0,1,G,1.06049,25.4649,0,5895330.39835929,-26464350.084425,54666772.73390821,0
gen_2033_2,,28832657.13,6062.177826491071,50,[8054.683513944448 8054.683513944448 8054.683513944448],[44.4681 -75.53190000000001 164.4681],50,S,[0 0 0],[0.000492221391229 0.000492221391229 0.000492221391229],[0 0 0],1,0,1,G,0.93066,38.3592,43285202.27,5163886.793,-11919574.85,25326221.96,0
gen_2039_1,,26897918.67800523,127017.0592217177,50,[197657.5457624644 197657.5457624644 197657.5457624644],[17.2327 -102.7673 137.2327],50,S,[0 0 0],[0.190921816612442 0.190921816612442 0.190921816612442],[0 0 0],1,0,1,G,1.08734,15.2697,0,11702623.4450114,-26966133.2224496,53911732.3420942,0
gen_2071_1,,27762372.49158004,38105.1177665153,50,[53460.0913907548 53460.0913907548 53460.0913907548],[41.9275 -78.07249999999999 161.9275],50,S,[0 0 0],[0.016647927149564 0.016647927149564 0.016647927149564],[0 0 0],1,0,1,G,0.99836,39.476,0,-6011829.829436311,-47767122.4802546,37016437.508422,0
gen_2076_1,,23848014.8598086,398.3716857408418,50,[603.5929294677273 603.5929294677273 603.5929294677273],[59.9399 -60.0601 179.9399],50,S,[1.320051735925841e-005 1.320051735925841e-005 1.320051735925841e-005],[1.35693084277126e-006 1.35693084277126e-006 1.35693084277126e-006],[0 0 0],1,0,1,G,1.06914,54.4904,57092109.8280771,1943.68854435161,-15002176.306373,5002194.597439,0
gen_2082_1,,93610157.63708067,95262.79441628826,50,[130571.7251745725 130571.7251745725 130571.7251745725],[26.2813 -93.7187 146.2813],50,S,[0 0 0],[0.01629943135586451 0.01629943135586451 0.01629943135586451],[0 0 0],1,0,1,G,0.99727,22.8105,131340468.163,-143205959.938036,-238370966.622024,71423952.8563339,0
gen_2085_2,,58420671.64431,6062.177826491071,50,[7986.457006749019 7986.457006749019 7986.457006749019],[20.8094 -99.1906 140.8094],50,S,[0 0 0],[0.000200235430166 0.000200235430166 0.000200235430166],[0 0 0],1,0,1,G,0.95863,18.6001,0,-47431816.1241512,-64752878.81400441,106271153.93756,0
gen_2086_1,,58204653.70267633,6062.177826491071,50,[8064.745640230502 8064.745640230502 8064.745640230502],[22.2184 -97.7816 142.2184],50,S,[0 0 0],[0.000200978574274 0.000200978574274 0.000200978574274],[0 0 0],1,0,1,G,0.96458,20.1144,0,-38648234.8879793,-65350469.93521971,106707702.297717,0
gen_2090_1,,65749129.446689,6928.20323027551,50,[9850.941255185377 9850.941255185377 9850.941255185377],[43.9831 -76.01689999999999 163.9831],50,S,[0.002196650048177028 0.002196650048177028 0.002196650048177028],[0.0002099915324787159 0.0002099915324787159 0.0002099915324787159],[0 0 0],1,0,1,G,1,37.3172,164359907.981834,-940605.2719579539,-10820214.3092507,11156969.8714883,0
gen_2246_1,,21347915.01051554,19052.55888325765,50,[26510.53264664852 26510.53264664852 26510.53264664852],[55.5433 -64.4567 175.5433],50,S,[0 0 0],[0.007248421620473179 0.007248421620473179 0.007248421620473179],[0 0 0],1,0,1,G,0.9829,47.1385,41114514.5477321,-1838628.19433189,-16891752.452,6932476.41,0
gen_2247_2,,16994108.13299783,19052.55888325765,50,[26300.02898358111 26300.02898358111 26300.02898358111],[51.8525 -68.14750000000001 171.8525],50,S,[0 0 0],[0.009150829726755034 0.009150829726755034 0.009150829726755034],[0 0 0],1,0,1,G,0.9813499999999999,44.2104,29992808.7004217,-1951090.23467014,-17060376.551,7087702.195,0
gen_2345_12,,2632110.31834362,19052.55888325765,50,[27511.14391958668 27511.14391958668 27511.14391958668],[54.9116 -65.08840000000001 174.9116],50,S,[0 0 0],[0.043898801611564 0.043898801611564 0.043898801611564],[0 0 0],1,0,1,G,1.01382,52.0709,0,747743.812207132,-8242415.345215701,8191250.26278198,0
gen_2355_1,,91472282.29418401,95262.79441628826,50,[137040.4732807911 137040.4732807911 137040.4732807911],[21.2784 -98.7216 141.2784],50,S,[0 0 0],[0.01654202032767494 0.01654202032767494 0.01654202032767494],[0 0 0],1,0,1,G,1.01103,20.7351,-138552599.392959,27815248.9666941,-242917758.307303,71115384.11851509,0
gen_3109_1,,35002552.69852167,76210.2355330306,50,[110466.8063156492 110466.8063156492 110466.8063156492],[40.2068 -79.7932 160.2068],50,S,[0 0 0],[0.052817399773062 0.052817399773062 0.052817399773062],[0 0 0],1,0,1,G,1.03357,45.5334,0,-7722076.573412869,-84704132.8717023,160676060.78228,0
gen_3272_1,,36658491.15233866,76210.2355330306,50,[111919.1743592553 111919.1743592553 111919.1743592553],[45.6495 -74.3505 165.6495],50,S,[0 0 0],[0.050431530617908 0.050431530617908 0.050431530617908],[0 0 0],1,0,1,G,1.0337,50.8567,0,6741982.947666939,-73592953.53176999,108127270.727418,0
gen_3273_1,,35258588.44087134,76210.2355330306,50,[110816.3611593977 110816.3611593977 110816.3611593977],[48.6965 -71.3035 168.69650000000001],50,S,[0 0 0],[0.05243385798203 0.05243385798203 0.05243385798203],[0 0 0],1,0,1,G,1.03192,53.8703,0,-3608336.05957087,-74776580.97934911,108839704.29888,0
gen_3275_1,,36572497.736197,76210.2355330306,50,[112516.7960887895 112516.7960887895 112516.7960887895],[55.4612 -64.53880000000001 175.4612],50,S,[0 0 0],[0.050550110968377 0.050550110968377 0.050550110968377],[0 0 0],1,0,1,G,1.03024,60.2963,0,15842684.7713226,-75168896.9831448,108205949.482508,0
gen_3285_1,,35941891.844074,76210.2355330306,50,[110900.1459080806 110900.1459080806 110900.1459080806],[39.3996 -80.60040000000001 159.3996],50,S,[0 0 0],[0.051437020259697 0.051437020259697 0.051437020259697],[0 0 0],1,0,1,G,1.03123,44.6743,0,-1877676.80387045,-107410682.48637,106655393.834226,0
gen_3524_1,,35001305.222201,76210.2355330306,50,[111841.3669244835 111841.3669244835 111841.3669244835],[29.4298 -90.5702 149.4298],50,S,[0 0 0],[0.052819282230162 0.052819282230162 0.052819282230162],[0 0 0],1,0,1,G,1.02355,34.5026,0,15583358.1836047,-84271410.94207759,159936462.28686,0
gen_3544_1,,35381747.92037667,158771.3240271471,50,[247912.7720852322 247912.7720852322 247912.7720852322],[26.5979 -93.4021 146.5979],50,S,[0 0 0],[0.226785339499727 0.226785339499727 0.226785339499727],[0 0 0],1,0,1,G,1.06778,30.8531,0,54986287.2394821,-107005740.848836,369777439.194731,0
gen_3548_1,,36256931.166475,158771.3240271471,50,[244466.5821050344 244466.5821050344 244466.5821050344],[34.3122 -85.68780000000001 154.3122],50,S,[0 0 0],[0.221311110898317 0.221311110898317 0.221311110898317],[0 0 0],1,0,1,G,1.06488,38.7612,0,37165119.4447423,-105621281.582862,374513905.282365,0
gen_3559_1,,36154531.701468,158771.3240271471,50,[231591.3969834814 231591.3969834814 231591.3969834814],[45.6841 -74.3159 165.6841],50,S,[0 0 0],[0.221937924143838 0.221937924143838 0.221937924143838],[0 0 0],1,0,1,G,1.05366,50.9229,0,-23663789.3308071,-87241255.6875497,273149341.474753,0
gen_3562_1,,35362153.96365166,158771.3240271471,50,[230168.3846386884 230168.3846386884 230168.3846386884],[38.7349 -81.26509999999999 158.7349],50,S,[0 0 0],[0.226910999891699 0.226910999891699 0.226910999891699],[0 0 0],1,0,1,G,1.03694,43.8704,0,-6010457.34745045,-86095514.9512738,160063738.203608,0
gen_3590_1,,35373285.144257,158771.3240271471,50,[253669.5393343287 253669.5393343287 253669.5393343287],[24.3663 -95.6337 144.3663],50,S,[0 0 0],[0.226839596081992 0.226839596081992 0.226839596081992],[0 0 0],1,0,1,G,1.0712,28.4621,0,70875570.98805501,-105452178.842388,373760346.113704,0
gen_3592_1,,35670718.25886767,158771.3240271471,50,[234619.447258526 234619.447258526 234619.447258526],[41.9144 -78.0856 161.9144],50,S,[0 0 0],[0.2249481397034 0.2249481397034 0.2249481397034],[0 0 0],1,0,1,G,1.05277,47.0972,0,-1626454.52092574,-79878129.8124231,276961280.079093,0
gen_3594_1,,36124900.51969267,158771.3240271471,50,[247982.3278196758 247982.3278196758 247982.3278196758],[26.4494 -93.5506 146.4494],50,S,[0 0 0],[0.222119967080387 0.222119967080387 0.222119967080387],[0 0 0],1,0,1,G,1.06834,30.6167,0,47571560.0457198,-53693837.8494233,272164989.443263,0
gen_3649_1,,35749204.86037933,158771.3240271471,50,[234983.0657146905 234983.0657146905 234983.0657146905],[42.1221 -77.8779 162.1221],50,S,[0 0 0],[0.224454270956651 0.224454270956651 0.224454270956651],[0 0 0],1,0,1,G,1.05336,46.3011,0,-2319443.54030583,-84989262.9329115,161897330.617067,0
gen_4009_11,,4290919.116884466,277.1281292110204,50,[400.3320192619035 400.3320192619035 400.3320192619035],[58.0238 -61.9762 178.0238],50,S,[0 0 0],[5.697194143e-006 5.697194143e-006 5.697194143e-006],[0 0 0],1,0,1,G,0.99493,55.9534,0,3631222.49506693,-12739241.7814583,12619560.2456108,0
gen_4010_21,,9590544.800000001,398.3716857408418,50,[585.7200264507098 585.7200264507098 585.7200264507098],[64.457 -55.543000000000006 -175.543],50,S,[4.918925929428313e-005 4.918925929428313e-005 4.918925929428313e-005],[4.764664586065723e-006 4.764664586065723e-006 4.764664586065723e-006],[0 0 0],1,0,1,G,1.03603,59.2738,18433384.315473,-3104.35854541138,-15003256.367267,5003289.761014,0
gen_4013_22,,8421979.543348633,398.3716857408418,50,[583.713977446401 583.713977446401 583.713977446401],[64.5705 -55.429500000000004 -175.42950000000002],50,S,[4.026401154756132e-005 4.026401154756132e-005 4.026401154756132e-005],[3.74085234758186e-006 3.74085234758186e-006 3.74085234758186e-006],[0 0 0],1,0,1,G,1.03282,59.2495,22272455.9517577,-2893.40329379775,-5003231.620503,5003171.958066,0
gen_4018_1,,19627601.2821123,398.3716857408418,50,[569.7447752123879 569.7447752123879 569.7447752123879],[64.1222 -55.87779999999999 -175.87779999999998],50,S,[0 0 0],[4.172923372315204e-006 4.172923372315204e-006 4.172923372315204e-006],[0 0 0],1,0,1,G,1.02185,57.645,27845004.4785054,-4641141.45218027,-5778863.664938141,5681875.83773397,0
gen_4019_1,,32966105.6092009,398.3716857408418,50,[569.6219000058243 569.6219000058243 569.6219000058243],[68.6392 -51.3608 -171.36079999999998],50,S,[0 0 0],[2.459979678362009e-006 2.459979678362009e-006 2.459979678362009e-006],[0 0 0],1,0,1,G,1.01703,63.007,39841419.41817451,-4805919.24919402,-9714125.17650363,9615925.76522639,0
gen_4020_2,,44428210.73052467,398.3716857408418,50,[578.2728268436798 578.2728268436798 578.2728268436798],[66.9879 -53.012100000000004 -173.0121],50,S,[0 0 0],[1.8916032092174e-006 1.8916032092174e-006 1.8916032092174e-006],[0 0 0],1,0,1,G,1.02561,58.1957,93252989.115914,-4716886.36485911,-5821295.03653548,5854939.65188798,0
gen_4022_1,,37253753.38,398.3716857408418,50,[570.4829084318105 570.4829084318105 570.4829084318105],[72.9096 -47.0904 -167.0904],50,S,[0 0 0],[2.491296058000003e-006 2.491296058000003e-006 2.491296058000003e-006],[0 0 0],1,0,1,G,1.01263,61.5636,95028833.758947,-8186446.08856989,-9815883.409181841,9812197.413719611,0
gen_4023_1,,33974898.59908833,398.3716857408418,50,[566.3305033152486 566.3305033152486 566.3305033152486],[70.3977 -49.6023 -169.6023],50,S,[0 0 0],[2.599870296431092e-006 2.599870296431092e-006 2.599870296431092e-006],[0 0 0],1,0,1,G,1.01358,60.2068,78763042.6681855,-9683817.21645947,-11746059.8581636,11903825.0697875,0
gen_4024_1,,36848918.63493233,398.3716857408418,50,[570.5347680501779 570.5347680501779 570.5347680501779],[71.2866 -48.71339999999999 -168.71339999999998],50,S,[0 0 0],[2.351281828545016e-006 2.351281828545016e-006 2.351281828545016e-006],[0 0 0],1,0,1,G,1.01544,61.4363,90185262.6517937,-7760713.51286229,-9467059.87107202,9407318.754418541,0
gen_4026_1,,20434221.4607913,398.3716857408418,50,[559.8303718660219 559.8303718660219 559.8303718660219],[54.2535 -65.7465 174.2535],50,S,[1.608332606524278e-005 1.608332606524278e-005 1.608332606524278e-005],[1.631547486827645e-006 1.631547486827645e-006 1.631547486827645e-006],[0 0 0],1,0,1,G,0.99318,51.1447,15112851.6455875,0,-5000000,5000000,0
gen_4031,,3.0E8,38105.1177665153,50,[53888.77434122992 53888.77434122992 53888.77434122992],[45.7206 -74.27940000000001 165.7206],50,S,[0 0 0],[1.5406198492e-005 1.5406198492e-005 1.5406198492e-005],[0 0 0],1,0,1,G,1.01428437,45.735075729,-3033991.696,408420.537,-200000000,200000000,0
gen_4037,,12130040.03666667,6639.528095680696,50,[9389.71068066885 9389.71068066885 9389.71068066885],[46.3618 -73.6382 166.36180000000002],50,S,[0 0 0],[0.002349122292067 0.002349122292067 0.002349122292067],[0 0 0],1,0,1,G,0.97427,44.1752,0,3074383.195,-8435284.561000001,24432417.62,0
gen_4047_1,,30346317.33518327,398.3716857408418,50,[602.8589249951297 602.8589249951297 602.8589249951297],[65.1362 -54.8638 -174.8638],50,S,[1.048362841610063e-005 1.048362841610063e-005 1.048362841610063e-005],[1.066120730592461e-006 1.066120730592461e-006 1.066120730592461e-006],[0 0 0],1,0,1,G,1.06733,60.3561,76441710.5700863,-6919.91057163104,-5007698.643602,5007621.05978,0
gen_4048_11,,4275290.902052066,19052.55888325765,50,[27998.18994469386 27998.18994469386 27998.18994469386],[59.7465 -60.2535 179.7465],50,S,[0 0 0],[0.027026579321014 0.027026579321014 0.027026579321014],[0 0 0],1,0,1,G,1.01158,57.7088,0,3928999.86826703,-13131151.3773166,12842282.3633999,0
gen_4049_1,,18908571.81715547,398.3716857408418,50,[603.2171035611518 603.2171035611518 603.2171035611518],[61.781 -58.219 -178.219],50,S,[1.672337559248556e-005 1.672337559248556e-005 1.672337559248556e-005],[1.727880831206316e-006 1.727880831206316e-006 1.727880831206316e-006],[0 0 0],1,0,1,G,1.0678,56.8047,49841511.7896069,0,-5000000,5000000,0
gen_4050_1,,34834707.54364733,398.3716857408418,50,[568.8819597781676 568.8819597781676 568.8819597781676],[68.172 -51.828 -171.828],50,S,[9.205888183234157e-006 9.205888183234157e-006 9.205888183234157e-006],[9.398124203657544e-007 9.398124203657544e-007 9.398124203657544e-007],[0 0 0],1,0,1,G,1.00795,64.0645,57700440.9102358,0,-5000000,5000000,0
gen_4084_1,,25399280.1084649,398.3716857408418,50,[601.2292755378486 601.2292755378486 601.2292755378486],[63.3144 -56.6856 -176.6856],50,S,[1.321773583523402e-005 1.321773583523402e-005 1.321773583523402e-005],[1.294082371897837e-006 1.294082371897837e-006 1.294082371897837e-006],[0 0 0],1,0,1,G,1.06436,59.0101,55656576.781322,0,-5000000,5000000,0
gen_4085_11,,3629839.164748166,19052.55888325765,50,[28846.07690143775 28846.07690143775 28846.07690143775],[59.0933 -60.9067 179.0933],50,S,[0 0 0],[0.031832399023865 0.031832399023865 0.031832399023865],[0 0 0],1,0,1,G,1.00997,57.1373,0,7802432.32947355,-12695460.6240615,12643409.5893055,0
gen_4094_1,,56644498.49724767,158771.3240271471,50,[227208.7517137449 227208.7517137449 227208.7517137449],[48.6171 -71.3829 168.6171],50,S,[0 0 0],[0.141656505522885 0.141656505522885 0.141656505522885],[0 0 0],1,0,1,G,1.031,46.4539,0,-34017235.4777846,-84310132.14215641,86755311.61390251,0
gen_4095_2,,58133204.371979,158771.3240271471,50,[227298.6838076216 227298.6838076216 227298.6838076216],[48.6171 -71.3829 168.6171],50,S,[0 0 0],[0.138028890732954 0.138028890732954 0.138028890732954],[0 0 0],1,0,1,G,1.03072,46.4539,0,-35639534.1391377,-87060728.7790626,84803085.5059624,0
gen_4100_2,,46365080.10765532,158771.3240271471,50,[236983.6210151956 236983.6210151956 236983.6210151956],[40.0531 -79.9469 160.0531],50,S,[0 0 0],[0.173062608661201 0.173062608661201 0.173062608661201],[0 0 0],1,0,1,G,1.05174,37.8969,0,6010928.203333399,-55340114.0674017,84620484.6538603,0
gen_4101_1,,46678103.74042033,158771.3240271471,50,[237000.1928726876 237000.1928726876 237000.1928726876],[40.0531 -79.9469 160.0531],50,S,[0 0 0],[0.171902049809878 0.171902049809878 0.171902049809878],[0 0 0],1,0,1,G,1.05174,37.8969,0,6190721.22540185,-56779768.84059609,85061133.9733005,0
gen_4152_11,,4322315.861098467,19052.55888325765,50,[26404.50418905053 26404.50418905053 26404.50418905053],[68.7812 -51.2188 -171.2188],50,S,[0 0 0],[0.026732541627662 0.026732541627662 0.026732541627662],[0 0 0],1,0,1,G,0.98449,65.75360000000001,0,-1602725.64662523,-12980205.6770772,12897276.9744694,0
gen_4153_21,,4399583.249352866,19052.55888325765,50,[27189.53708183507 27189.53708183507 27189.53708183507],[68.2822 -51.7178 -171.7178],50,S,[0 0 0],[0.02626305314298 0.02626305314298 0.02626305314298],[0 0 0],1,0,1,G,1.00208,66.10039999999999,0,636647.9143869131,-12779703.919217,12871097.5083523,0
gen_4372_12,,1437548.054754733,19052.55888325765,50,[27617.38381441389 27617.38381441389 27617.38381441389],[57.1392 -62.8608 177.13920000000002],50,S,[0 0 0],[0.08037747907107699 0.08037747907107699 0.08037747907107699],[0 0 0],1,0,1,G,1.01394,54.9891,0,1267414.41818588,-8544031.151197849,8783772.17855305,0
gen_4373_11,,4321514.745336033,19052.55888325765,50,[24606.393551163 24606.393551163 24606.393551163],[64.4609 -55.539100000000005 -175.53910000000002],50,S,[0 0 0],[0.026737497265148 0.026737497265148 0.026737497265148],[0 0 0],1,0,1,G,0.95662,62.303,0,-5443718.12789491,-12630675.392691,12899598.5660702,0
gen_4376_11,,6389702.289,12701.70592217177,50,[17734.78828853372 17734.78828853372 17734.78828853372],[76.4493 -43.550700000000006 -163.5507],50,S,[0 0 0],[0.015150001563584 0.015150001563584 0.015150001563584],[0 0 0],1,0,1,G,1.07258,74.0213,0,-9681028.77693218,-25305911.93,15148941.65,0
gen_5001_1,,179722707.8311456,288675.1345948129,50,[411230.0397286772 411230.0397286772 411230.0397286772],[38.6407 -81.35929999999999 158.6407],50,S,[0 0 0],[0.1374486250025962 0.1374486250025962 0.1374486250025962],[0 0 0],1,0,1,G,1.0366,32.4227,410903272.545692,-233176806.854259,-542232308.350504,546196422.6909909,0
gen_5171_1,,181119528.42058,127017.0592217177,50,[179334.6609515481 179334.6609515481 179334.6609515481],[-29.6101 -149.6101 90.3899],50,S,[0 0 0],[0.02637338075078631 0.02637338075078631 0.02637338075078631],[0 0 0],1,0,1,G,1.0288,-26.6906,-439329367.361488,-198583332.44421,-530166943.848599,544384734.344203,0
