"Component ","Description ","Primary winding connection","Primary resistance [3]","Primary leakage inductance [3]","Primary winding voltage [3]","Secondary winding connection","Secondary resistance [3]","Secondary leakage inductance [3]","Secondary winding voltage [3]","Magnetization resistance [3]","Magnetization inductance [3]","Tertiary winding connection","Primary neutral resistance [4]","Primary neutral inductance [4]","Primary neutral capacitance [4]","Secondary neutral resistance [4]","Secondary neutral inductance [4]","Secondary neutral capacitance [4]","Tertiary neutral resistance [4]","Tertiary neutral inductance [4]","Tertiary neutral capacitance [4]","Base primary winding voltage","Base secondary winding voltage","Base tertiary winding voltage","Base power ","Base frequency ","Tertiary resistance [3]","Tertiary leakage inductance [3]","Tertiary winding voltage [3]"
xf_3231_3644_3645_2,0.0,Yg,[0.3454359818214425 0.3454359818214425 0.3454359818214425],[0.1018262626601534 0.1018262626601534 0.1018262626601534],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.03022912374921454 0.03022912374921454 0.03022912374921454],[0.00380500311242228 0.00380500311242228 0.00380500311242228],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02896214707531568 0.02896214707531568 0.02896214707531568],[0.004172542380578086 0.004172542380578086 0.004172542380578086],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3266_3154_3155_1,0.0,Yg,[0.3044235636172694 0.3044235636172694 0.3044235636172694],[0.009855939961147114 0.009855939961147114 0.009855939961147114],[78115.49142135637000 78115.49142135637000 78115.49142135637000],Yg,[0.01354440166579295 0.01354440166579295 0.01354440166579295],[0.001222374348024246 0.001222374348024246 0.001222374348024246],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.01460512173555459 0.01460512173555459 0.01460512173555459],[0.001273835399260446 0.001273835399260446 0.001273835399260446],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3302_3304_3303_1,0.0,Yg,[0.2972310912710992 0.2972310912710992 0.2972310912710992],[0.07118926546657969 0.07118926546657969 0.07118926546657969],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.02690181805270062 0.02690181805270062 0.02690181805270062],[0.004047785207254325 0.004047785207254325 0.004047785207254325],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02727541740547753 0.02727541740547753 0.02727541740547753],[0.004100558133041081 0.004100558133041081 0.004100558133041081],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3302_3304_3303_2,0.0,Yg,[0.4137626851842403 0.4137626851842403 0.4137626851842403],[0.08755678873819389 0.08755678873819389 0.08755678873819389],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.02460309384341261 0.02460309384341261 0.02460309384341261],[0.003710555344996648 0.003710555344996648 0.003710555344996648],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02461235162059229 0.02461235162059229 0.02461235162059229],[0.003977438237066015 0.003977438237066015 0.003977438237066015],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3302_3304_3303_3,0.0,Yg,[0.420241658473829 0.420241658473829 0.420241658473829],[0.0940888754871545 0.0940888754871545 0.0940888754871545],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.02567222323550274 0.02567222323550274 0.02567222323550274],[0.003751994816059877 0.003751994816059877 0.003751994816059877],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02510216650373288 0.02510216650373288 0.02510216650373288],[0.003969160177246407 0.003969160177246407 0.003969160177246407],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3333_3335_3336_2,0.0,Yg,[0.3282098063265139 0.3282098063265139 0.3282098063265139],[0.04802155611095104 0.04802155611095104 0.04802155611095104],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02660445255669537 0.02660445255669537 0.02660445255669537],[0.004169985836205573 0.004169985836205573 0.004169985836205573],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.0274327048225226 0.0274327048225226 0.0274327048225226],[0.004266395585440786 0.004266395585440786 0.004266395585440786],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3333_3336_3335_1,0.0,Yg,[0.3884875936565389 0.3884875936565389 0.3884875936565389],[0.05730610796717293 0.05730610796717293 0.05730610796717293],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02667938346349949 0.02667938346349949 0.02667938346349949],[0.004066350397736679 0.004066350397736679 0.004066350397736679],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02546734062108718 0.02546734062108718 0.02546734062108718],[0.004117898430242197 0.004117898430242197 0.004117898430242197],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3333_3336_3335_3,0.0,Yg,[0.2707296117496261 0.2707296117496261 0.2707296117496261],[0.07165484287798218 0.07165484287798218 0.07165484287798218],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02655926687141551 0.02655926687141551 0.02655926687141551],[0.004162401204601885 0.004162401204601885 0.004162401204601885],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02647364441651078 0.02647364441651078 0.02647364441651078],[0.003882013292570534 0.003882013292570534 0.003882013292570534],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3358_3360_3361_1,0.0,Yg,[0.107832235740125 0.107832235740125 0.107832235740125],[0.08393119071590058 0.08393119071590058 0.08393119071590058],[65096.2428511303000 65096.2428511303000 65096.2428511303000],Yg,[0.03612329799096953 0.03612329799096953 0.03612329799096953],[0.004369122832650825 0.004369122832650825 0.004369122832650825],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.03886927925526128 0.03886927925526128 0.03886927925526128],[0.004442738847583215 0.004442738847583215 0.004442738847583215],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3359_3360_3361_2,0.0,Yg,[0.3440079797359242 0.3440079797359242 0.3440079797359242],[0.09106312756378422 0.09106312756378422 0.09106312756378422],[65096.2428511303000 65096.2428511303000 65096.2428511303000],Yg,[0.03243371310769938 0.03243371310769938 0.03243371310769938],[0.004120542886864479 0.004120542886864479 0.004120542886864479],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.0352463777659875 0.0352463777659875 0.0352463777659875],[0.004551958905813691 0.004551958905813691 0.004551958905813691],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3359_3360_3361_3,0.0,Yg,[0.006899684008291178 0.006899684008291178 0.006899684008291178],[0.0676927130611316 0.0676927130611316 0.0676927130611316],[62714.67299072311000 62714.67299072311000 62714.67299072311000],Yg,[0.03643434661075826 0.03643434661075826 0.03643434661075826],[0.004660305025917353 0.004660305025917353 0.004660305025917353],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.03986458497296434 0.03986458497296434 0.03986458497296434],[0.004687093334832512 0.004687093334832512 0.004687093334832512],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3362_3364_3363_1,0.0,Yg,[0.1670372263473172 0.1670372263473172 0.1670372263473172],[0.05768528854601937 0.05768528854601937 0.05768528854601937],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02773647512680801 0.02773647512680801 0.02773647512680801],[0.00405514582738966 0.00405514582738966 0.00405514582738966],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02829435034096426 0.02829435034096426 0.02829435034096426],[0.004413713749600922 0.004413713749600922 0.004413713749600922],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3362_3364_3363_2,0.0,Yg,[0.2511932306699147 0.2511932306699147 0.2511932306699147],[0.07882599053771021 0.07882599053771021 0.07882599053771021],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02680175005339047 0.02680175005339047 0.02680175005339047],[0.004185414978011728 0.004185414978011728 0.004185414978011728],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02693525479684095 0.02693525479684095 0.02693525479684095],[0.003940856762850378 0.003940856762850378 0.003940856762850378],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3371_3372_3373_1,0.0,Yg,[0.3398371660177011 0.3398371660177011 0.3398371660177011],[0.10208578769866 0.10208578769866 0.10208578769866],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.03059641418071669 0.03059641418071669 0.03059641418071669],[0.004117229157211274 0.004117229157211274 0.004117229157211274],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.0278857474683555 0.0278857474683555 0.0278857474683555],[0.00396681433638663 0.00396681433638663 0.00396681433638663],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3371_3372_3373_2,0.0,Yg,[0.02000555806229147 0.02000555806229147 0.02000555806229147],[0.1146049008610829 0.1146049008610829 0.1146049008610829],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.03229564250491456 0.03229564250491456 0.03229564250491456],[0.004119101819817452 0.004119101819817452 0.004119101819817452],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.03225750631736651 0.03225750631736651 0.03225750631736651],[0.00405032426136586 0.00405032426136586 0.00405032426136586],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3379_3380_3381_3,0.0,Yg,[0.3491093386555277 0.3491093386555277 0.3491093386555277],[0.05992790620477844 0.05992790620477844 0.05992790620477844],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02555302183583683 0.02555302183583683 0.02555302183583683],[0.004197272684559879 0.004197272684559879 0.004197272684559879],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02557301383012976 0.02557301383012976 0.02557301383012976],[0.004036685721184674 0.004036685721184674 0.004036685721184674],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3413_3415_3414_1,0.0,Yg,[0.3614874722750947 0.3614874722750947 0.3614874722750947],[0.08265813402634431 0.08265813402634431 0.08265813402634431],[61914.46551762628000 61914.46551762628000 61914.46551762628000],Yg,[0.02880683902917064 0.02880683902917064 0.02880683902917064],[0.004272912152594519 0.004272912152594519 0.004272912152594519],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02972408100458039 0.02972408100458039 0.02972408100458039],[0.003942777781419983 0.003942777781419983 0.003942777781419983],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3413_3415_3414_2,0.0,Yg,[0.242790918174283 0.242790918174283 0.242790918174283],[0.09475822592141496 0.09475822592141496 0.09475822592141496],[61914.46551762628000 61914.46551762628000 61914.46551762628000],Yg,[0.03078262822620477 0.03078262822620477 0.03078262822620477],[0.004075721417524709 0.004075721417524709 0.004075721417524709],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02880123669805369 0.02880123669805369 0.02880123669805369],[0.003857921083792272 0.003857921083792272 0.003857921083792272],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3483_3558_3484_3,0.0,Yg,[0.05066411957785959 0.05066411957785959 0.05066411957785959],[0.002372327465649478 0.002372327465649478 0.002372327465649478],[73352.35170054196000 73352.35170054196000 73352.35170054196000],Yg,[0.2513850539270444 0.2513850539270444 0.2513850539270444],[0.1098710309994698 0.1098710309994698 0.1098710309994698],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,11027.39014152185,33333333.33333333,50,[0.009409950454256825 0.009409950454256825 0.009409950454256825],[0.001612339758776363 0.001612339758776363 0.001612339758776363],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3483_3558_3485_2,0.0,Yg,[0.04903271772364015 0.04903271772364015 0.04903271772364015],[0.003040339230737307 0.003040339230737307 0.003040339230737307],[73352.35170054196000 73352.35170054196000 73352.35170054196000],Yg,[0.2753904147426707 0.2753904147426707 0.2753904147426707],[0.102958328183725 0.102958328183725 0.102958328183725],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,11027.39014152185,33333333.33333333,50,[0.008227917305855918 0.008227917305855918 0.008227917305855918],[0.001688585275098997 0.001688585275098997 0.001688585275098997],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3486_3561_3487_1,0.0,Yg,[0.1539883027785795 0.1539883027785795 0.1539883027785795],[0.001477179840667627 0.001477179840667627 0.001477179840667627],[78678.40793381626000 78678.40793381626000 78678.40793381626000],Yg,[0.6311699478496802 0.6311699478496802 0.6311699478496802],[0.1822430163208804 0.1822430163208804 0.1822430163208804],[166276.8775266122000 166276.8775266122000 166276.8775266122000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,11027.39014152185,33333333.33333333,50,[0.0232084847338939 0.0232084847338939 0.0232084847338939],[0.003477465854826757 0.003477465854826757 0.003477465854826757],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3486_3561_3488_2,0.0,Yg,[0.1964679770956468 0.1964679770956468 0.1964679770956468],[0.03682600967188225 0.03682600967188225 0.03682600967188225],[78678.40793381626000 78678.40793381626000 78678.40793381626000],Yg,[0.4478086489000891 0.4478086489000891 0.4478086489000891],[0.01493437116883896 0.01493437116883896 0.01493437116883896],[166276.8775266122000 166276.8775266122000 166276.8775266122000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,11027.39014152185,33333333.33333333,50,[0.02346977714969087 0.02346977714969087 0.02346977714969087],[0.003437010186117745 0.003437010186117745 0.003437010186117745],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3486_3561_3489_3,0.0,Yg,[0.09387827681969231 0.09387827681969231 0.09387827681969231],[0.03500724139926431 0.03500724139926431 0.03500724139926431],[78678.40793381626000 78678.40793381626000 78678.40793381626000],Yg,[0.7486381751937481 0.7486381751937481 0.7486381751937481],[0.02665320419810436 0.02665320419810436 0.02665320419810436],[166276.8775266122000 166276.8775266122000 166276.8775266122000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,11027.39014152185,33333333.33333333,50,[0.01620795192347788 0.01620795192347788 0.01620795192347788],[0.002871514804932317 0.002871514804932317 0.002871514804932317],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3492_3565_3494_2,0.0,Yg,[0.06040368177157406 0.06040368177157406 0.06040368177157406],[0.0044368562909024 0.0044368562909024 0.0044368562909024],[73352.35170054196000 73352.35170054196000 73352.35170054196000],Yg,[0.1829913265590998 0.1829913265590998 0.1829913265590998],[0.09255595688493819 0.09255595688493819 0.09255595688493819],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,10969.65511460289,33333333.33333333,50,[0.01053255962962539 0.01053255962962539 0.01053255962962539],[0.001675542069233586 0.001675542069233586 0.001675542069233586],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3492_3565_3495_1,0.0,Yg,[0.05272900941650296 0.05272900941650296 0.05272900941650296],[0.002089226780691067 0.002089226780691067 0.002089226780691067],[73352.35170054196000 73352.35170054196000 73352.35170054196000],Yg,[0.2463572144322017 0.2463572144322017 0.2463572144322017],[0.1060331516644125 0.1060331516644125 0.1060331516644125],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,10969.65511460289,33333333.33333333,50,[0.01044752213869931 0.01044752213869931 0.01044752213869931],[0.001795049089736728 0.001795049089736728 0.001795049089736728],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3516_3584_3517_1,0.0,Yg,[0.1576720859350786 0.1576720859350786 0.1576720859350786],[0.003224901238540158 0.003224901238540158 0.003224901238540158],[73352.35170054196000 73352.35170054196000 73352.35170054196000],Yg,[0.5417109320463755 0.5417109320463755 0.5417109320463755],[0.1549724461369926 0.1549724461369926 0.1549724461369926],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,158771.3240271471,11027.39014152185,33333333.33333333,50,[0.02010754305768203 0.02010754305768203 0.02010754305768203],[0.002987420538426778 0.002987420538426778 0.002987420538426778],[11027.39014152185000 11027.39014152185000 11027.39014152185000]
xf_3628_3455_3453_1,0.0,Yg,[0.4393778062061926 0.4393778062061926 0.4393778062061926],[0.04828566650682845 0.04828566650682845 0.04828566650682845],[82878.63114217078000 82878.63114217078000 82878.63114217078000],Yg,[0.01269233975092248 0.01269233975092248 0.01269233975092248],[0.001010757540180005 0.001010757540180005 0.001010757540180005],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.01313145851753972 0.01313145851753972 0.01313145851753972],[0.001002336701670295 0.001002336701670295 0.001002336701670295],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3629_3454_3456_2,0.0,Yg,[0.4781139094013437 0.4781139094013437 0.4781139094013437],[0.03587716277362536 0.03587716277362536 0.03587716277362536],[82878.63114217078000 82878.63114217078000 82878.63114217078000],Yg,[0.01345085302941458 0.01345085302941458 0.01345085302941458],[0.00112732286118816 0.00112732286118816 0.00112732286118816],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.01202278819376267 0.01202278819376267 0.01202278819376267],[0.001126757301362139 0.001126757301362139 0.001126757301362139],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
